USA,United States,North America,High income,Washington D.C.,-77.032,38.8895
TZA,Tanzania,Sub-Saharan Africa ,Low income,Dodoma,35.7382,-6.17486
CAN,Canada,North America,High income,Ottawa,-75.6919,45.4215
IND,India,South Asia,Lower middle income,New Delhi,77.225,28.6353
IRQ,Iraq,Middle East & North Africa,Upper middle income,Baghdad,44.394,33.3302
RUS,Russian Federation,Europe & Central Asia,Upper middle income,Moscow,37.6176,55.7558
BRA,Brazil,Latin America & Caribbean ,Upper middle income,Brasilia,-47.9292,-15.7801
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,Quito,-78.5243,-0.229498
VUT,Vanuatu,East Asia & Pacific,Lower middle income,Port-Vila,168.321,-17.7404
PHL,Philippines,East Asia & Pacific,Lower middle income,Manila,121.035,14.5515
GIN,Guinea,Sub-Saharan Africa ,Low income,Conakry,-13.7,9.51667
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Port Moresby,147.194,-9.47357
SDN,Sudan,Sub-Saharan Africa ,Lower middle income,Khartoum,32.5363,15.5932
TCD,Chad,Sub-Saharan Africa ,Low income,N'Djamena,15.0445,12.1048
CHN,China,East Asia & Pacific,Upper middle income,Beijing,116.286,40.0495
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,Managua,-86.2734,12.1475
PER,Peru,Latin America & Caribbean ,Upper middle income,Lima,-77.0465,-12.0931
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,Cairo,31.2461,30.0982
TUR,Turkey,Europe & Central Asia,Upper middle income,Ankara,32.3606,39.7153
DMA,Dominica,Latin America & Caribbean ,Upper middle income,Roseau,-61.39,15.2976
POL,Poland,Europe & Central Asia,High income,Warsaw,21.02,52.26
AUS,Australia,East Asia & Pacific,High income,Canberra,149.129,-35.282
HRV,Croatia,Europe & Central Asia,High income,Zagreb,15.9614,45.8069
NPL,Nepal,South Asia,Low income,Kathmandu,85.3157,27.6939
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,Honiara,159.949,-9.42676
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Yaounde,11.5174,3.8721
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Nairobi,36.8126,-1.27975
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Yamoussoukro,-4.0305,5.332
ETH,Ethiopia,Sub-Saharan Africa ,Low income,Addis Ababa,38.7468,9.02274
MMR,Myanmar,East Asia & Pacific,Lower middle income,Naypyidaw,95.9562,21.914
IDN,Indonesia,East Asia & Pacific,Lower middle income,Jakarta,106.83,-6.19752
MAR,Morocco,Middle East & North Africa,Lower middle income,Rabat,-6.8704,33.9905
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,La Paz,-66.1936,-13.9908
UKR,Ukraine,Europe & Central Asia,Lower middle income,Kiev,30.5038,50.4536
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,Pretoria,28.1871,-25.746
ARG,Argentina,Latin America & Caribbean ,Upper middle income,Buenos Aires,-58.4173,-34.6118
CHL,Chile,Latin America & Caribbean ,High income,Santiago,-70.6475,-33.475
SLV,El Salvador,Latin America & Caribbean ,Lower middle income,San Salvador,-89.2073,13.7034
HND,Honduras,Latin America & Caribbean ,Lower middle income,Tegucigalpa,-87.4667,15.1333
SYR,Syrian Arab Republic,Middle East & North Africa,Low income,Damascus,36.3119,33.5146
VEN,"Venezuela, RB",Latin America & Caribbean ,Upper middle income,Caracas,-69.8371,9.08165
BTN,Bhutan,South Asia,Lower middle income,Thimphu,89.6177,27.5768
UGA,Uganda,Sub-Saharan Africa ,Low income,Kampala,32.5729,0.314269
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Abuja,7.48906,9.05804
MYS,Malaysia,East Asia & Pacific,Upper middle income,Kuala Lumpur,101.684,3.12433
COL,Colombia,Latin America & Caribbean ,Upper middle income,Bogota,-74.082,4.60987
TUN,Tunisia,Middle East & North Africa,Lower middle income,Tunis,10.21,36.7899
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,Gaborone,25.9201,-24.6544
NCL,New Caledonia,East Asia & Pacific,High income,Noum'ea,166.464,-22.2677
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,Tehran,51.4447,35.6878
ESP,Spain,Europe & Central Asia,High income,Madrid,-3.70327,40.4167
TGO,Togo,Sub-Saharan Africa ,Low income,Lome,1.2255,6.1228
GBR,United Kingdom,Europe & Central Asia,High income,London,-0.126236,51.5002
FIN,Finland,Europe & Central Asia,High income,Helsinki,24.9525,60.1608
DEU,Germany,Europe & Central Asia,High income,Berlin,13.4115,52.5235
THA,Thailand,East Asia & Pacific,Upper middle income,Bangkok,100.521,13.7308
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,Freetown,-13.2134,8.4821
LVA,Latvia,Europe & Central Asia,High income,Riga,24.1048,56.9465
IRL,Ireland,Europe & Central Asia,High income,Dublin,-6.26749,53.3441
HUN,Hungary,Europe & Central Asia,High income,Budapest,19.0408,47.4984
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Baku,49.8932,40.3834
PAN,Panama,Latin America & Caribbean ,High income,Panama City,-79.5188,8.99427
MEX,Mexico,Latin America & Caribbean ,Upper middle income,Mexico City,-99.1276,19.427
VNM,Vietnam,East Asia & Pacific,Lower middle income,Hanoi,105.825,21.0069
SUR,Suriname,Latin America & Caribbean ,Upper middle income,Paramaribo,-55.1679,5.8232
MNG,Mongolia,East Asia & Pacific,Lower middle income,Ulaanbaatar,106.937,47.9129
JPN,Japan,East Asia & Pacific,High income,Tokyo,139.77,35.67
CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,San Jose,-84.0089,9.63701
ISR,Israel,Middle East & North Africa,High income,,35.2035,31.7717
KHM,Cambodia,East Asia & Pacific,Lower middle income,Phnom Penh,104.874,11.5556
NOR,Norway,Europe & Central Asia,High income,Oslo,10.7387,59.9138
SWE,Sweden,Europe & Central Asia,High income,Stockholm,18.0645,59.3327
PLW,Palau,East Asia & Pacific,High income,Koror,134.479,7.34194
LAO,Lao PDR,East Asia & Pacific,Lower middle income,Vientiane,102.177,18.5826
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,Asuncion,-57.6362,-25.3005
LTU,Lithuania,Europe & Central Asia,High income,Vilnius,25.2799,54.6896
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Dili,125.567,-8.56667
